Address,Postcode,Floor Area,House Number,Street Name
"425 Wokingham Road, Earley",RG6 7EL,1442,425,Wokingham Road
"465, Wokingham Road, Earley",RG6 7EL,1184,465,Wokingham Road
"475, Wokingham Road, Earley",RG6 7EL,1302,475,Wokingham Road
"475, Wokingham Road, Earley",RG6 7EL,1302,475,Wokingham Road
"427, Wokingham Road, Earley",RG6 7EL,2239,427,Wokingham Road
"471, Wokingham Road, Earley",RG6 7EL,1173,471,Wokingham Road
"447a, Wokingham Road, Earley",RG6 7EL,484,447,a
"411 Wokingham Road, Earley",RG6 7EL,2486,411,Wokingham Road
"411A Wokingham Road, Earley",RG6 7EL,2486,411,A Wokingham Road
"447c, Wokingham Road, Earley",RG6 7EL,506,447,c
"433, Wokingham Road, Earley",RG6 7EL,1442,433,Wokingham Road
"475, Wokingham Road, Earley",RG6 7EL,1281,475,Wokingham Road
"415, Wokingham Road, Earley",RG6 7EL,1636,415,Wokingham Road
"459, Wokingham Road, Earley",RG6 7EL,915,459,Wokingham Road
"405, Wokingham Road, Earley",RG6 7EL,1087,405,Wokingham Road
"413, Wokingham Road, Earley",RG6 7EL,1604,413,Wokingham Road
"453, Wokingham Road, Earley",RG6 7EL,1239,453,Wokingham Road
"477, Wokingham Road, Earley",RG6 7EL,2729,477,Wokingham Road
"431, Wokingham Road, Earley",RG6 7EL,959,431,Wokingham Road
"The Annexe, 455 Wokingham Road, Earley",RG6 7EL,271,,The Annexe
"455, Wokingham Road, Earley",RG6 7EL,1187,455,Wokingham Road
"Flat 3, Windmill Court, Wokingham Road",RG6 7EP,441,,Flat
"Flat 5, 291, Wokingham Road, Earley",RG6 7EP,506,,Flat
"Flat 4, 291, Wokingham Road, Earley",RG6 7EP,527,,Flat
"Flat 3, 291, Wokingham Road, Earley",RG6 7EP,536,,Flat
"Flat 1, 291, Wokingham Road, Earley",RG6 7EP,527,,Flat
"Flat 1, 291, Wokingham Road, Earley",RG6 7EP,527,,Flat
"Flat 4, 291, Wokingham Road, Earley",RG6 7EP,572,,Flat
"4 Matthews Close, Earley",RG6 7EQ,1206,4,Matthews Close
"3 Matthews Close, Earley",RG6 7EQ,1184,3,Matthews Close
"6 Matthews Close, Earley",RG6 7EQ,1216,6,Matthews Close
"2, Matthews Close, Earley",RG6 7EQ,1184,2,Matthews Close
"1, Matthews Close, Earley",RG6 7EQ,797,1,Matthews Close
"Flat 1, Loddon Court, Wokingham Road",RG6 7ER,549,,Flat
"Flat 8 Loddon Court, Wokingham Road, Earley",RG6 7ER,420,,Flat
"Flat 9 Loddon Court, Wokingham Road, Earley",RG6 7ER,366,,Flat
"Flat 4 Loddon Court, Wokingham Road, Earley",RG6 7ER,527,,Flat
"Flat 2 Loddon Court, Wokingham Road, Earley",RG6 7ER,560,,Flat
"Flat 6 Loddon Court, Wokingham Road, Earley",RG6 7ER,452,,Flat
"Flat 7 Loddon Court, Wokingham Road, Earley",RG6 7ER,452,,Flat
"Flat 9 Loddon Court, Wokingham Road, Earley",RG6 7ER,420,,Flat
"Flat 8 Loddon Court, Wokingham Road, Earley",RG6 7ER,452,,Flat
"25 Tiggall Close, Earley",RG6 7ES,1625,25,Tiggall Close
"14 Tiggall Close, Earley",RG6 7ES,743,14,Tiggall Close
"29 Tiggall Close, Earley",RG6 7ES,1722,29,Tiggall Close
"19 Tiggall Close, Earley",RG6 7ES,506,19,Tiggall Close
"10 TIGGALL CLOSE, EARLEY",RG6 7ES,861,10,TIGGALL CLOSE
"27 TIGGALL CLOSE, EARLEY",RG6 7ES,1722,27,TIGGALL CLOSE
"5 TIGGALL CLOSE, EARLEY",RG6 7ES,883,5,TIGGALL CLOSE
"12, Tiggall Close, Earley",RG6 7ES,732,12,Tiggall Close
"11, Tiggall Close, Earley",RG6 7ES,710,11,Tiggall Close
"15, Tiggall Close, Earley",RG6 7ES,689,15,Tiggall Close
"1, Tiggall Close, Earley",RG6 7ES,861,1,Tiggall Close
"23, Tiggall Close, Earley",RG6 7ES,818,23,Tiggall Close
"16, Tiggall Close, Earley",RG6 7ES,861,16,Tiggall Close
"21, Tiggall Close, Earley",RG6 7ES,851,21,Tiggall Close
"4, Tiggall Close, Earley",RG6 7ES,677,4,Tiggall Close
"2, Tiggall Close, Earley",RG6 7ES,624,2,Tiggall Close
"7, Tiggall Close, Earley",RG6 7ES,825,7,Tiggall Close
"3, Tiggall Close, Earley",RG6 7ES,733,3,Tiggall Close
"23, Tiggall Close, Earley",RG6 7ES,535,23,Tiggall Close
"19, Tiggall Close, Earley",RG6 7ES,699,19,Tiggall Close
"12, Tiggall Close, Earley",RG6 7ES,729,12,Tiggall Close
"11, Tiggall Close, Earley",RG6 7ES,627,11,Tiggall Close
"21 Pond Head Lane, Earley",RG6 7ET,1485,21,Pond Head Lane
"11, Pond Head Lane, Earley",RG6 7ET,1141,11,Pond Head Lane
"8 POND HEAD LANE, EARLEY",RG6 7ET,1679,8,POND HEAD LANE
"7 POND HEAD LANE, EARLEY",RG6 7ET,1023,7,POND HEAD LANE
"1B POND HEAD LANE, EARLEY",RG6 7ET,1884,1,B POND HEAD LANE
"23, Pond Head Lane, Earley",RG6 7ET,1076,23,Pond Head Lane
"8, Pond Head Lane, Earley",RG6 7ET,990,8,Pond Head Lane
"9, Pond Head Lane, Earley",RG6 7ET,1464,9,Pond Head Lane
"14, Pond Head Lane, Earley",RG6 7ET,1755,14,Pond Head Lane
"20, Pond Head Lane, Earley",RG6 7ET,1335,20,Pond Head Lane
"14, Pond Head Lane, Earley",RG6 7ET,1647,14,Pond Head Lane
"15, Pond Head Lane, Earley",RG6 7ET,1227,15,Pond Head Lane
"11a, Pond Head Lane, Earley",RG6 7ET,1359,11,a
"1A MEADOW ROAD, EARLEY",RG6 7EU,1012,1,A MEADOW ROAD
"14, Meadow Road, Earley",RG6 7EU,1249,14,Meadow Road
"12, Meadow Road, Earley",RG6 7EU,990,12,Meadow Road
"5, Meadow Road, Earley",RG6 7EU,1356,5,Meadow Road
"3, Meadow Road, Earley",RG6 7EU,1755,3,Meadow Road
"3, Meadow Road, Earley",RG6 7EU,2303,3,Meadow Road
"Annex, 6 Meadow Road, Earley",RG6 7EU,1055,,Annex
"1, Meadow Road, Earley",RG6 7EU,1631,1,Meadow Road
"9, Meadow Road, Earley",RG6 7EU,840,9,Meadow Road
"1, Meadow Road, Earley",RG6 7EU,971,1,Meadow Road
"16, Meadow Road, Earley",RG6 7EU,1032,16,Meadow Road
"17 Meadow Road, Earley",RG6 7EX,2982,17,Meadow Road
"61 Meadow Road, Earley",RG6 7EX,1109,61,Meadow Road
"21 MEADOW ROAD, EARLEY",RG6 7EX,1830,21,MEADOW ROAD
"36 MEADOW ROAD, EARLEY",RG6 7EX,1087,36,MEADOW ROAD
"67, Meadow Road, Earley",RG6 7EX,1098,67,Meadow Road
"37, Meadow Road, Earley",RG6 7EX,797,37,Meadow Road
"27, Meadow Road, Earley",RG6 7EX,1356,27,Meadow Road
"56, Meadow Road, Earley",RG6 7EX,1335,56,Meadow Road
"39, Meadow Road, Earley",RG6 7EX,883,39,Meadow Road
"23, Meadow Road, Earley",RG6 7EX,1711,23,Meadow Road
"44, Meadow Road, Earley",RG6 7EX,893,44,Meadow Road
"46, Meadow Road, Earley",RG6 7EX,926,46,Meadow Road
"31, Meadow Road, Earley",RG6 7EX,1313,31,Meadow Road
"25, Meadow Road, Earley",RG6 7EX,1798,25,Meadow Road
"19, Meadow Road, Earley",RG6 7EX,980,19,Meadow Road
"57, Meadow Road, Earley",RG6 7EX,904,57,Meadow Road
"69, Meadow Road, Earley",RG6 7EX,915,69,Meadow Road
"41, Meadow Road, Earley",RG6 7EX,947,41,Meadow Road
"32, Meadow Road, Earley",RG6 7EX,1894,32,Meadow Road
"41, Meadow Road, Earley",RG6 7EX,936,41,Meadow Road
"49, Meadow Road, Earley",RG6 7EX,840,49,Meadow Road
"55, Meadow Road, Earley",RG6 7EX,1410,55,Meadow Road
"26, Meadow Road, Earley",RG6 7EX,1427,26,Meadow Road
"60, Meadow Road, Earley",RG6 7EX,944,60,Meadow Road
"41, Meadow Road, Earley",RG6 7EX,921,41,Meadow Road
"29, Meadow Road, Earley",RG6 7EX,682,29,Meadow Road
"42, Meadow Road, Earley",RG6 7EX,916,42,Meadow Road
"21 Wilsford Close, Lower Earley",RG6 4BP,1389,21,Wilsford Close
"9 Wilsford Close, Lower Earley",RG6 4BP,2164,9,Wilsford Close
"24 Wilsford Close, Lower Earley",RG6 4BP,2174,24,Wilsford Close
"12, Wilsford Close, Shinfield",RG6 4BP,2131,12,Wilsford Close
"14, Wilsford Close, Lower Earley",RG6 4BP,2110,14,Wilsford Close
"11, Wilsford Close, Lower Earley",RG6 4BP,2196,11,Wilsford Close
"15, Wilsford Close, Lower Earley",RG6 4BP,1862,15,Wilsford Close
"44, Wilsford Close, Lower Earley",RG6 4BP,947,44,Wilsford Close
"7, Wilsford Close, Lower Earley",RG6 4BP,1410,7,Wilsford Close
"22, Wilsford Close, Lower Earley",RG6 4BP,1531,22,Wilsford Close
"23, Wilsford Close, Lower Earley",RG6 4BP,874,23,Wilsford Close
"17, Wilsford Close, Lower Earley",RG6 4BP,1292,17,Wilsford Close
"7, Uffcott Close, Lower Earley",RG6 4BQ,1195,7,Uffcott Close
"2, Uffcott Close, Lower Earley",RG6 4BQ,1755,2,Uffcott Close
"3, Uffcott Close, Lower Earley",RG6 4BQ,1884,3,Uffcott Close
"1, Uffcott Close, Lower Earley",RG6 4BQ,1512,1,Uffcott Close
"8 ST MARTINS CLOSE, EARLEY",RG6 4BS,1227,8,ST MARTINS CLOSE
"1, St. Martins Close, Lower Earley",RG6 4BS,1141,1,St. Martins Close
"1, St. Martins Close, Lower Earley",RG6 4BS,1163,1,St. Martins Close
"4, St. Martins Close, Lower Earley",RG6 4BS,1012,4,St. Martins Close
"6 ST. CLEMENTS CLOSE, LOWER EARLEY",RG6 4BT,1066,6,ST. CLEMENTS CLOSE
"15, St. Clements Close, Lower Earley",RG6 4BT,850,15,St. Clements Close
"17, St. Clements Close, Lower Earley",RG6 4BT,581,17,St. Clements Close
"8, St. Clements Close, Lower Earley",RG6 4BT,861,8,St. Clements Close
"10, St. Clements Close, Lower Earley",RG6 4BT,592,10,St. Clements Close
"1, St. Clements Close, Lower Earley",RG6 4BT,732,1,St. Clements Close
"9, St. Clements Close, Lower Earley",RG6 4BT,775,9,St. Clements Close
"5, St. Clements Close, Lower Earley",RG6 4BT,678,5,St. Clements Close
"9, St. Clements Close, Lower Earley",RG6 4BT,592,9,St. Clements Close
"7, St. Clements Close, Lower Earley",RG6 4BT,883,7,St. Clements Close
"10, St. Clements Close, Lower Earley",RG6 4BT,592,10,St. Clements Close
"5, St. Clements Close, Lower Earley",RG6 4BT,635,5,St. Clements Close
"2, St. Clements Close, Lower Earley",RG6 4BT,689,2,St. Clements Close
"11, St. Clements Close, Lower Earley",RG6 4BT,732,11,St. Clements Close
"16, St. Clements Close, Lower Earley",RG6 4BT,819,16,St. Clements Close
"6, St. Clements Close, Lower Earley",RG6 4BT,944,6,St. Clements Close
"12, St. Clements Close, Lower Earley",RG6 4BT,853,12,St. Clements Close
"4, St. Clements Close, Lower Earley",RG6 4BT,1147,4,St. Clements Close
"4 Strand Way, Lower Earley",RG6 4BU,1195,4,Strand Way
"32 Strand Way, Lower Earley",RG6 4BU,958,32,Strand Way
"8 STRAND WAY, EARLEY",RG6 4BU,1184,8,STRAND WAY
"38, Strand Way, Lower Earley",RG6 4BU,1442,38,Strand Way
"1, Strand Way, Lower Earley",RG6 4BU,1485,1,Strand Way
"3, Strand Way, Lower Earley",RG6 4BU,1475,3,Strand Way
"28, Strand Way, Lower Earley",RG6 4BU,926,28,Strand Way
"40, Strand Way, Lower Earley",RG6 4BU,1701,40,Strand Way
"34, Strand Way, Lower Earley",RG6 4BU,861,34,Strand Way
"26, Strand Way, Lower Earley",RG6 4BU,1173,26,Strand Way
"2, Strand Way, Lower Earley",RG6 4BU,1507,2,Strand Way
"14, Strand Way, Lower Earley",RG6 4BU,1324,14,Strand Way
"36, Strand Way, Lower Earley",RG6 4BU,736,36,Strand Way
"32, Strand Way, Lower Earley",RG6 4BU,991,32,Strand Way
"9 Driftway Close, Lower Earley",RG6 4BW,452,9,Driftway Close
"21 Driftway Close, Lower Earley",RG6 4BW,474,21,Driftway Close
"3 Driftway Close, Lower Earley",RG6 4BW,474,3,Driftway Close
"2, Driftway Close, Lower Earley",RG6 4BW,495,2,Driftway Close
"6, Driftway Close, Lower Earley",RG6 4BW,484,6,Driftway Close
"4, Driftway Close, Lower Earley",RG6 4BW,463,4,Driftway Close
"20, Driftway Close, Lower Earley",RG6 4BW,463,20,Driftway Close
"19, Driftway Close, Lower Earley",RG6 4BW,474,19,Driftway Close
"10, Driftway Close, Lower Earley",RG6 4BW,484,10,Driftway Close
"14, Driftway Close, Lower Earley",RG6 4BW,657,14,Driftway Close
"18, Driftway Close, Lower Earley",RG6 4BW,484,18,Driftway Close
"22, Driftway Close, Lower Earley",RG6 4BW,484,22,Driftway Close
"11, Driftway Close, Lower Earley",RG6 4BW,883,11,Driftway Close
"15, Driftway Close, Lower Earley",RG6 4BW,657,15,Driftway Close
"11, Driftway Close, Lower Earley",RG6 4BW,926,11,Driftway Close
"17, Driftway Close, Lower Earley",RG6 4BW,452,17,Driftway Close
"20, Driftway Close, Lower Earley",RG6 4BW,474,20,Driftway Close
"5, Driftway Close, Lower Earley",RG6 4BW,490,5,Driftway Close
"2, Driftway Close, Lower Earley",RG6 4BW,489,2,Driftway Close
"4, Driftway Close, Lower Earley",RG6 4BW,468,4,Driftway Close
"60 Westminster Way, Lower Earley",RG6 4BX,581,60,Westminster Way
"57 Westminster Way, Lower Earley",RG6 4BX,463,57,Westminster Way
"65 Westminster Way, Lower Earley",RG6 4BX,441,65,Westminster Way
"11 Westminster Way, Lower Earley",RG6 4BX,840,11,Westminster Way
"67 Westminster Way, Lower Earley",RG6 4BX,732,67,Westminster Way
"18 WESTMINSTER WAY, EARLEY",RG6 4BX,570,18,WESTMINSTER WAY
"27 WESTMINSTER WAY, EARLEY",RG6 4BX,592,27,WESTMINSTER WAY
"66 WESTMINSTER WAY, EARLEY",RG6 4BX,710,66,WESTMINSTER WAY
"66, Westminster Way, Lower Earley",RG6 4BX,710,66,Westminster Way
"74 WESTMINSTER WAY, WOKINGHAM, READING",RG6 4BX,452,74,WESTMINSTER WAY
"24, Westminster Way, Lower Earley",RG6 4BX,592,24,Westminster Way
"42, Westminster Way, Lower Earley",RG6 4BX,603,42,Westminster Way
"14, Westminster Way, Lower Earley",RG6 4BX,581,14,Westminster Way
"61, Westminster Way, Lower Earley",RG6 4BX,463,61,Westminster Way
"53, Westminster Way, Lower Earley",RG6 4BX,441,53,Westminster Way
"6, Westminster Way, Lower Earley",RG6 4BX,904,6,Westminster Way
"47, Westminster Way, Lower Earley",RG6 4BX,484,47,Westminster Way
"58, Westminster Way, Lower Earley",RG6 4BX,592,58,Westminster Way
"15, Westminster Way, Lower Earley",RG6 4BX,893,15,Westminster Way
"16, Westminster Way, Lower Earley",RG6 4BX,581,16,Westminster Way
"64, Westminster Way, Lower Earley",RG6 4BX,990,64,Westminster Way
"20, Westminster Way, Lower Earley",RG6 4BX,958,20,Westminster Way
"22, Westminster Way, Lower Earley",RG6 4BX,1076,22,Westminster Way
"44, Westminster Way, Lower Earley",RG6 4BX,592,44,Westminster Way
"21, Westminster Way, Lower Earley",RG6 4BX,603,21,Westminster Way
"50, Westminster Way, Lower Earley",RG6 4BX,732,50,Westminster Way
"2, Westminster Way, Lower Earley",RG6 4BX,1410,2,Westminster Way
"12, Westminster Way, Lower Earley",RG6 4BX,990,12,Westminster Way
"56, Westminster Way, Lower Earley",RG6 4BX,700,56,Westminster Way
"37, Westminster Way, Lower Earley",RG6 4BX,667,37,Westminster Way
"68, Westminster Way, Lower Earley",RG6 4BX,667,68,Westminster Way
"4, Westminster Way, Lower Earley",RG6 4BX,1163,4,Westminster Way
"26, Westminster Way, Lower Earley",RG6 4BX,603,26,Westminster Way
"3, Westminster Way, Lower Earley",RG6 4BX,1249,3,Westminster Way
"7, Westminster Way, Lower Earley",RG6 4BX,581,7,Westminster Way
"28, Westminster Way, Lower Earley",RG6 4BX,1023,28,Westminster Way
"19, Westminster Way, Lower Earley",RG6 4BX,592,19,Westminster Way
"43, Westminster Way, Lower Earley",RG6 4BX,581,43,Westminster Way
"9, Westminster Way, Lower Earley",RG6 4BX,581,9,Westminster Way
"35, Westminster Way, Lower Earley",RG6 4BX,775,35,Westminster Way
"38, Westminster Way, Lower Earley",RG6 4BX,592,38,Westminster Way
"70, Westminster Way, Lower Earley",RG6 4BX,463,70,Westminster Way
"41, Westminster Way, Lower Earley",RG6 4BX,441,41,Westminster Way
"44, Westminster Way, Lower Earley",RG6 4BX,603,44,Westminster Way
"31, Westminster Way, Lower Earley",RG6 4BX,904,31,Westminster Way
"59, Westminster Way, Lower Earley",RG6 4BX,657,59,Westminster Way
"82, Westminster Way, Lower Earley",RG6 4BX,527,82,Westminster Way
"24, Westminster Way, Lower Earley",RG6 4BX,581,24,Westminster Way
"67, Westminster Way, Lower Earley",RG6 4BX,732,67,Westminster Way
"49, Westminster Way, Lower Earley",RG6 4BX,700,49,Westminster Way
"28, Westminster Way, Lower Earley",RG6 4BX,560,28,Westminster Way
"76, Westminster Way, Lower Earley",RG6 4BX,786,76,Westminster Way
"60, Westminster Way, Lower Earley",RG6 4BX,506,60,Westminster Way
"80, Westminster Way, Lower Earley",RG6 4BX,484,80,Westminster Way
"32, Westminster Way, Lower Earley",RG6 4BX,858,32,Westminster Way
"23, Westminster Way, Lower Earley",RG6 4BX,576,23,Westminster Way
"54, Westminster Way, Lower Earley",RG6 4BX,948,54,Westminster Way
"11, Westminster Way, Lower Earley",RG6 4BX,842,11,Westminster Way
"18, Westminster Way, Lower Earley",RG6 4BX,590,18,Westminster Way
"51, Westminster Way, Lower Earley",RG6 4BX,503,51,Westminster Way
"84, Westminster Way, Lower Earley",RG6 4BX,998,84,Westminster Way
"61, Westminster Way, Lower Earley",RG6 4BX,511,61,Westminster Way
"63, Westminster Way, Lower Earley",RG6 4BX,456,63,Westminster Way
"62, Westminster Way, Lower Earley",RG6 4BX,727,62,Westminster Way
"29, Westminster Way, Lower Earley",RG6 4BX,752,29,Westminster Way
"74, Westminster Way, Lower Earley",RG6 4BX,520,74,Westminster Way
"42, Westminster Way, Lower Earley",RG6 4BX,583,42,Westminster Way
"66, Westminster Way, Lower Earley",RG6 4BX,675,66,Westminster Way
"66, Westminster Way, Lower Earley",RG6 4BX,675,66,Westminster Way
"20, Westminster Way, Lower Earley",RG6 4BX,1071,20,Westminster Way
"80 Fleetham Gardens, Lower Earley",RG6 4BY,786,80,Fleetham Gardens
"126 Fleetham Gardens, Lower Earley",RG6 4BY,431,126,Fleetham Gardens
"92 Fleetham Gardens, Lower Earley",RG6 4BY,452,92,Fleetham Gardens
"130 Fleetham Gardens, Lower Earley",RG6 4BY,431,130,Fleetham Gardens
"106 Fleetham Gardens, Lower Earley",RG6 4BY,474,106,Fleetham Gardens
"106 Fleetham Gardens, Lower Earley",RG6 4BY,474,106,Fleetham Gardens
"6 Fleetham Gardens, Lower Earley",RG6 4BY,484,6,Fleetham Gardens
"18 Fleetham Gardens, Lower Earley",RG6 4BY,431,18,Fleetham Gardens
"142 Fleetham Gardens, Lower Earley",RG6 4BY,495,142,Fleetham Gardens
"18 Fleetham Gardens, Lower Earley",RG6 4BY,431,18,Fleetham Gardens
"134 FLEETHAM GARDENS, LOWER EARLEY",RG6 4BY,441,134,FLEETHAM GARDENS
"64 FLEETHAM GARDENS, LOWER EARLEY",RG6 4BY,495,64,FLEETHAM GARDENS
"132 FLEETHAM GARDENS, LOWER EARLEY",RG6 4BY,452,132,FLEETHAM GARDENS
"78 FLEETHAM GARDENS, LOWER EARLEY",RG6 4BY,797,78,FLEETHAM GARDENS
"2 FLEETHAM GARDENS, EARLEY",RG6 4BY,431,2,FLEETHAM GARDENS
"136 FLEETHAM GARDENS, EARLEY",RG6 4BY,452,136,FLEETHAM GARDENS
"122 FLEETHAM GARDENS, EARLEY",RG6 4BY,657,122,FLEETHAM GARDENS
"102 FLEETHAM GARDENS, EARLEY",RG6 4BY,657,102,FLEETHAM GARDENS
"138 FLEETHAM GARDENS, EARLEY",RG6 4BY,452,138,FLEETHAM GARDENS
"84, Fleetham Gardens, Lower Earley",RG6 4BY,420,84,Fleetham Gardens
"86, Fleetham Gardens, Lower Earley",RG6 4BY,420,86,Fleetham Gardens
"120, Fleetham Gardens, Lower Earley",RG6 4BY,667,120,Fleetham Gardens
"12, Fleetham Gardens, Lower Earley",RG6 4BY,431,12,Fleetham Gardens
"108, Fleetham Gardens, Lower Earley",RG6 4BY,463,108,Fleetham Gardens
"90, Fleetham Gardens, Lower Earley",RG6 4BY,431,90,Fleetham Gardens
"26, Fleetham Gardens, Lower Earley",RG6 4BY,646,26,Fleetham Gardens
"38, Fleetham Gardens, Lower Earley",RG6 4BY,452,38,Fleetham Gardens
"76, Fleetham Gardens, Lower Earley",RG6 4BY,624,76,Fleetham Gardens
"54, Fleetham Gardens, Lower Earley",RG6 4BY,441,54,Fleetham Gardens
"110, Fleetham Gardens, Lower Earley",RG6 4BY,431,110,Fleetham Gardens
"128, Fleetham Gardens, Lower Earley",RG6 4BY,420,128,Fleetham Gardens
"22, Fleetham Gardens, Lower Earley",RG6 4BY,452,22,Fleetham Gardens
"124, Fleetham Gardens, Lower Earley",RG6 4BY,689,124,Fleetham Gardens
"22, Fleetham Gardens, Lower Earley",RG6 4BY,441,22,Fleetham Gardens
"128, Fleetham Gardens, Lower Earley",RG6 4BY,484,128,Fleetham Gardens
"4, Fleetham Gardens, Lower Earley",RG6 4BY,452,4,Fleetham Gardens
"74, Fleetham Gardens, Lower Earley",RG6 4BY,495,74,Fleetham Gardens
"104, Fleetham Gardens, Lower Earley",RG6 4BY,441,104,Fleetham Gardens
"10, Fleetham Gardens, Lower Earley",RG6 4BY,441,10,Fleetham Gardens
"26, Fleetham Gardens, Lower Earley",RG6 4BY,570,26,Fleetham Gardens
"148, Fleetham Gardens, Lower Earley",RG6 4BY,398,148,Fleetham Gardens
"24, Fleetham Gardens, Lower Earley",RG6 4BY,646,24,Fleetham Gardens
"140, Fleetham Gardens, Lower Earley",RG6 4BY,560,140,Fleetham Gardens
"36, Fleetham Gardens, Lower Earley",RG6 4BY,398,36,Fleetham Gardens
"6, Fleetham Gardens, Lower Earley",RG6 4BY,474,6,Fleetham Gardens
"120, Fleetham Gardens, Lower Earley",RG6 4BY,872,120,Fleetham Gardens
"144, Fleetham Gardens, Lower Earley",RG6 4BY,431,144,Fleetham Gardens
"50, Fleetham Gardens, Lower Earley",RG6 4BY,441,50,Fleetham Gardens
"118, Fleetham Gardens, Lower Earley",RG6 4BY,635,118,Fleetham Gardens
"120, Fleetham Gardens, Lower Earley",RG6 4BY,646,120,Fleetham Gardens
"140, Fleetham Gardens, Lower Earley",RG6 4BY,506,140,Fleetham Gardens
"92, Fleetham Gardens, Lower Earley",RG6 4BY,452,92,Fleetham Gardens
"142, Fleetham Gardens, Lower Earley",RG6 4BY,495,142,Fleetham Gardens
"112, Fleetham Gardens, Lower Earley",RG6 4BY,431,112,Fleetham Gardens
"70, Fleetham Gardens, Lower Earley",RG6 4BY,495,70,Fleetham Gardens
"68, Fleetham Gardens, Lower Earley",RG6 4BY,506,68,Fleetham Gardens
"130, Fleetham Gardens, Lower Earley",RG6 4BY,441,130,Fleetham Gardens
"16, Fleetham Gardens, Lower Earley",RG6 4BY,431,16,Fleetham Gardens
"114, Fleetham Gardens, Lower Earley",RG6 4BY,453,114,Fleetham Gardens
"80, Fleetham Gardens, Lower Earley",RG6 4BY,787,80,Fleetham Gardens
"116, Fleetham Gardens, Lower Earley",RG6 4BY,437,116,Fleetham Gardens
"132, Fleetham Gardens, Lower Earley",RG6 4BY,440,132,Fleetham Gardens
"64, Fleetham Gardens, Lower Earley",RG6 4BY,340,64,Fleetham Gardens
"58, Fleetham Gardens, Lower Earley",RG6 4BY,436,58,Fleetham Gardens
"18, Fleetham Gardens, Lower Earley",RG6 4BY,503,18,Fleetham Gardens
"80, Fleetham Gardens, Lower Earley",RG6 4BY,797,80,Fleetham Gardens
"2, Fleetham Gardens, Lower Earley",RG6 4BY,436,2,Fleetham Gardens
"78, Fleetham Gardens, Lower Earley",RG6 4BY,792,78,Fleetham Gardens
"122, Fleetham Gardens, Lower Earley",RG6 4BY,654,122,Fleetham Gardens
"82, Fleetham Gardens, Lower Earley",RG6 4BY,775,82,Fleetham Gardens
"142, Fleetham Gardens, Lower Earley",RG6 4BY,494,142,Fleetham Gardens
"150, Fleetham Gardens, Lower Earley",RG6 4BY,449,150,Fleetham Gardens
"134, Fleetham Gardens, Lower Earley",RG6 4BY,434,134,Fleetham Gardens
"84, Fleetham Gardens, Lower Earley",RG6 4BY,417,84,Fleetham Gardens
"32, Fleetham Gardens, Lower Earley",RG6 4BY,359,32,Fleetham Gardens
"108, Fleetham Gardens, Lower Earley",RG6 4BY,435,108,Fleetham Gardens
"72, Fleetham Gardens, Lower Earley",RG6 4BY,397,72,Fleetham Gardens
"12, Fleetham Gardens, Lower Earley",RG6 4BY,397,12,Fleetham Gardens
"79 Fleetham Gardens, Lower Earley",RG6 4BZ,441,79,Fleetham Gardens
"101 Fleetham Gardens, Lower Earley",RG6 4BZ,441,101,Fleetham Gardens
"35 Fleetham Gardens, Lower Earley",RG6 4BZ,624,35,Fleetham Gardens
"17 Fleetham Gardens, Lower Earley",RG6 4BZ,614,17,Fleetham Gardens
"71 Fleetham Gardens, Lower Earley",RG6 4BZ,1356,71,Fleetham Gardens
"97 Fleetham Gardens, Lower Earley",RG6 4BZ,431,97,Fleetham Gardens
"75, Fleetham Gardens, Lower Earley",RG6 4BZ,452,75,Fleetham Gardens
"15 Fleetham Gardens, Lower Earley",RG6 4BZ,431,15,Fleetham Gardens
"91 Fleetham Gardens, Lower Earley",RG6 4BZ,441,91,Fleetham Gardens
"143 Fleetham Gardens, Lower Earley",RG6 4BZ,1195,143,Fleetham Gardens
"49 FLEETHAM GARDENS, LOWER EARLEY",RG6 4BZ,667,49,FLEETHAM GARDENS
"127 FLEETHAM GARDENS, EARLEY",RG6 4BZ,581,127,FLEETHAM GARDENS
"89 FLEETHAM GARDENS, WOKINGHAM, READING",RG6 4BZ,441,89,FLEETHAM GARDENS
"19, Fleetham Gardens, Lower Earley",RG6 4BZ,657,19,Fleetham Gardens
"129, Fleetham Gardens, Lower Earley",RG6 4BZ,1001,129,Fleetham Gardens
"85, Fleetham Gardens, Lower Earley",RG6 4BZ,441,85,Fleetham Gardens
"95, Fleetham Gardens, Lower Earley",RG6 4BZ,495,95,Fleetham Gardens
"5, Fleetham Gardens, Lower Earley",RG6 4BZ,452,5,Fleetham Gardens
"25, Fleetham Gardens, Lower Earley",RG6 4BZ,667,25,Fleetham Gardens
"1, Fleetham Gardens, Lower Earley",RG6 4BZ,452,1,Fleetham Gardens
"123, Fleetham Gardens, Lower Earley",RG6 4BZ,667,123,Fleetham Gardens
"149, Fleetham Gardens, Lower Earley",RG6 4BZ,797,149,Fleetham Gardens
"65, Fleetham Gardens, Lower Earley",RG6 4BZ,657,65,Fleetham Gardens
"69, Fleetham Gardens, Lower Earley",RG6 4BZ,592,69,Fleetham Gardens
"113, Fleetham Gardens, Lower Earley",RG6 4BZ,409,113,Fleetham Gardens
"3, Fleetham Gardens, Lower Earley",RG6 4BZ,506,3,Fleetham Gardens
"11, Fleetham Gardens, Lower Earley",RG6 4BZ,452,11,Fleetham Gardens
